ID,Time,Count,Temperature,Humidity
0,2025-05-14T12:34:02.386Z,0,26.73,52.93
1,2025-05-14T12:34:05.741Z,0,27.5,53.12
0,2025-05-14T12:34:22.390Z,1,26.73,53.63
1,2025-05-14T12:34:25.767Z,1,27.2,55.7
0,2025-05-14T12:34:42.416Z,2,26.76,53.31
1,2025-05-14T12:34:45.914Z,2,26.98,54.19
0,2025-05-14T12:35:02.415Z,3,26.77,53.15
1,2025-05-14T12:35:05.739Z,3,26.95,53.75
0,2025-05-14T12:35:22.423Z,4,26.77,53.18
1,2025-05-14T12:35:25.772Z,4,26.94,53.72
0,2025-05-14T12:35:42.414Z,5,26.79,53.15
1,2025-05-14T12:35:45.730Z,5,26.91,53.69
0,2025-05-14T12:36:02.588Z,6,26.80,53.18
1,2025-05-14T12:36:05.994Z,6,26.90,53.88
0,2025-05-14T12:36:22.661Z,7,26.63,53.47
1,2025-05-14T12:36:26.000Z,7,26.86,53.94
0,2025-05-14T12:36:42.694Z,8,26.56,53.37
1,2025-05-14T12:36:46.035Z,8,26.87,53.94
0,2025-05-14T12:37:02.659Z,9,26.51,53.50
1,2025-05-14T12:37:06.037Z,9,26.87,53.85
0,2025-05-14T12:37:22.701Z,10,26.45,53.66
1,2025-05-14T12:37:26.018Z,10,26.87,53.85
0,2025-05-14T12:37:42.675Z,11,26.40,53.88
1,2025-05-14T12:37:46.061Z,11,26.87,53.82
0,2025-05-14T12:38:02.694Z,12,26.33,53.94
1,2025-05-14T12:38:06.067Z,12,26.87,53.82
0,2025-05-14T12:38:22.733Z,13,26.23,54.16
1,2025-05-14T12:38:26.121Z,13,26.86,53.82
0,2025-05-14T12:38:42.726Z,14,26.22,54.19
1,2025-05-14T12:38:46.078Z,14,26.84,53.88
0,2025-05-14T12:39:02.707Z,15,26.19,54.26
1,2025-05-14T12:39:06.086Z,15,26.83,53.88
0,2025-05-14T12:39:22.750Z,16,26.16,54.35
1,2025-05-14T12:39:26.080Z,16,26.86,53.88
0,2025-05-14T12:39:42.736Z,17,26.13,54.38
